A,B,Trips,,,
65,66,15,,,
67,66,85,,,
68,66,47,,,
69,66,18,,,
70,66,46,,,
102,66,2,,,
130,66,2,,,
172,66,2,,,
15,67,1,,,
64,67,166,,,
65,67,38,,,
66,67,86,,,
68,67,30,,,
69,67,5,,,
70,67,33,,,
83,67,1,,,
97,67,1,,,
98,67,1,,,
107,67,3,,,
130,67,1,,,
5,68,3,,,
64,68,214,,,
65,68,17,,,
66,68,51,,,
67,68,30,,,
69,68,7,,,
70,68,24,,,
73,68,2,,,
78,68,4,,,
81,68,1,,,
96,68,1,,,
97,68,3,,,
107,68,1,,,
119,68,2,,,
121,68,1,,,
130,68,3,,,
131,68,1,,,
156,68,1,,,
64,69,35,,,
65,69,2,,,
66,69,16,,,
67,69,6,,,
68,69,7,,,
70,69,28,,,
98,69,7,,,
113,69,1,,,
140,69,1,,,
31,70,1,,,
64,70,68,,,
65,70,4,,,
66,70,39,,,
67,70,25,,,
68,70,28,,,
69,70,34,,,
98,70,1,,,
107,70,1,,,
113,70,1,,,
130,70,3,,,
153,70,1,,,
16,71,1,,,
22,71,1,,,
23,71,1,,,
34,71,1,,,
35,71,2,,,
37,71,11,,,
38,71,8,,,
39,71,29,,,
40,71,2,,,
47,71,1,,,
53,71,2,,,
54,71,7,,,
58,71,3,,,
59,71,1,,,
72,71,27,,,
81,71,1,,,
87,71,8,,,
88,71,3,,,
89,71,5,,,
90,71,6,,,
91,71,14,,,
92,71,2,,,
94,71,2,,,
102,71,1,,,
105,71,2,,,
106,71,3,,,
107,71,3,,,
109,71,1,,,
116,71,5,,,
117,71,25,,,
118,71,10,,,
119,71,1,,,
127,71,2,,,
128,71,2,,,
151,71,3,,,
166,71,1,,,
168,71,2,,,
171,71,1,,,
176,71,2,,,
177,71,1,,,
179,71,1,,,
180,71,2,,,
5,72,1,,,
8,72,2,,,
15,72,3,,,
16,72,5,,,
21,72,3,,,
22,72,2,,,
24,72,1,,,
25,72,1,,,
35,72,2,,,
36,72,3,,,
37,72,4,,,
38,72,8,,,
39,72,10,,,
40,72,1,,,
47,72,2,,,
53,72,5,,,
54,72,7,,,
58,72,5,,,
59,72,4,,,
71,72,32,,,
81,72,1,,,
87,72,17,,,
88,72,8,,,
89,72,6,,,
90,72,2,,,
91,72,6,,,
92,72,1,,,
102,72,2,,,
106,72,1,,,
107,72,4,,,
108,72,2,,,
109,72,1,,,
116,72,15,,,
117,72,23,,,
118,72,22,,,
125,72,1,,,
127,72,6,,,
128,72,3,,,
129,72,2,,,
142,72,1,,,
151,72,6,,,
152,72,2,,,
167,72,1,,,
168,72,2,,,
171,72,1,,,
177,72,2,,,
179,72,1,,,
180,72,4,,,
1,73,5,,,
8,73,4,,,
11,73,4,,,
16,73,2,,,
24,73,2,,,
27,73,1,,,
30,73,6,,,
31,73,8,,,
33,73,7,,,
46,73,2,,,
48,73,1,,,
56,73,2,,,
64,73,2,,,
71,73,2,,,
74,73,56,,,
75,73,92,,,
84,73,3,,,
85,73,2,,,
87,73,1,,,
106,73,2,,,
107,73,1,,,
112,73,2,,,
113,73,1,,,
114,73,2,,,
115,73,12,,,
119,73,2,,,
134,73,1,,,
143,73,2,,,
153,73,6,,,
154,73,1,,,
157,73,1,,,
167,73,1,,,
172,73,2,,,
181,73,2,,,
73,74,51,,,
75,74,3,,,
135,74,4,,,
4,75,1,,,
31,75,8,,,
33,75,1,,,
48,75,1,,,
66,75,2,,,
72,75,1,,,
73,75,96,,,
74,75,2,,,
85,75,4,,,
108,75,1,,,
153,75,6,,,
17,76,38,,,
46,76,6,,,
56,76,41,,,
57,76,4,,,
107,76,1,,,
108,76,1,,,
111,76,1,,,
112,76,6,,,
138,76,2,,,
146,76,6,,,
147,76,19,,,
154,76,1,,,
173,76,2,,,
17,77,1,,,
46,77,2,,,
56,77,1,,,
59,77,1,,,
64,77,2,,,
143,77,1,,,
147,77,4,,,
4,78,6,,,
5,78,2,,,
68,78,4,,,
142,78,1,,,
4,79,4,,,
5,79,1,,,
6,79,2,,,
7,79,2,,,
78,79,1,,,
86,79,1,,,
21,81,1,,,
24,81,3,,,
25,81,6,,,
46,81,1,,,
48,81,1,,,
56,81,1,,,
68,81,1,,,
71,81,1,,,
82,81,32,,,
84,81,1,,,
86,81,1,,,
87,81,1,,,
104,81,14,,,
107,81,4,,,
108,81,4,,,
109,81,1,,,
110,81,4,,,
119,81,2,,,
120,81,1,,,
124,81,2,,,
143,81,1,,,
173,81,10,,,
174,81,7,,,
175,81,1,,,
4,82,1,,,
16,82,1,,,
21,82,1,,,
24,82,2,,,
25,82,9,,,
48,82,1,,,
81,82,33,,,
102,82,1,,,
104,82,16,,,
107,82,20,,,
108,82,4,,,
109,82,1,,,
110,82,1,,,
111,82,1,,,
116,82,2,,,
